title,description,location,gallery,price,tags,category,time,duration
Tech Innovation Summit 2025,Join industry leaders and innovators for a day of cutting-edge technology discussions and networking. Featuring keynotes on AI ML and blockchain.,"{""address"": ""Innovation Hub - 5th Avenue"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""KICC Conference Hall"", ""latitude"": -1.2921, ""longitude"": 36.8219}","{""https://images.unsplash.com/photo-1540575467063-178a50c2df87"",""https://images.unsplash.com/photo-1591115765373-5207764f72e7""}",0.075,"{""tech"",""innovation"",""AI"",""networking"",""conference""}",Technology,2025-12-15T09:00:00Z,480
Nairobi Jazz Night,An evening of smooth jazz featuring local and international artists. Enjoy cocktails and live music under the stars.,"{""address"": ""The Alchemist - Westlands"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""The Alchemist Westlands"", ""latitude"": -1.2674, ""longitude"": 36.8079}","{""https://images.unsplash.com/photo-1511192336575-5a79af67a629"",""https://images.unsplash.com/photo-1510915361894-db8b60106cb1""}",0.025,"{""jazz"",""music"",""live"",""nightlife"",""cocktails""}",Music,2025-11-20T19:00:00Z,180
Fitness Bootcamp - Morning Session,High-intensity interval training in Karura Forest. All fitness levels welcome. Bring your own mat and water.,"{""address"": ""Karura Forest Main Entrance"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Karura Forest"", ""latitude"": -1.2363, ""longitude"": 36.8456}","{""https://images.unsplash.com/photo-1517836357463-d25dfeac3438"",""https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b""}",10,"{""fitness"",""health"",""outdoor"",""bootcamp"",""morning""}",Sports & Fitness,2025-11-08T06:30:00Z,90
Art Exhibition: Modern African Perspectives,Explore contemporary African art from emerging and established artists. Opening night includes wine tasting and artist meet-and-greet.,"{""address"": ""Nairobi Gallery - Kenyatta Avenue"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Nairobi Gallery"", ""latitude"": -1.2834, ""longitude"": 36.8219}","{""https://images.unsplash.com/photo-1531913764164-f85c52e6e654"",""https://images.unsplash.com/photo-1578926314433-e2789279f4aa""}",0.015,"{""art"",""exhibition"",""culture"",""wine"",""gallery""}",Arts & Culture,2025-11-25T18:00:00Z,240
Startup Pitch Competition,Watch innovative startups pitch their ideas to top investors. Network with entrepreneurs and VCs. Cash prizes for winners.,"{""address"": ""iHub - Ngong Road"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""iHub Innovation Center"", ""latitude"": -1.2956, ""longitude"": 36.7821}","{""https://images.unsplash.com/photo-1556761175-5973dc0f32e7"",""https://images.unsplash.com/photo-1559136555-9303baea8ebd""}",0.02,"{""startup"",""business"",""pitch"",""networking"",""entrepreneurship""}",Business & Professional,2025-12-01T14:00:00Z,240
Maasai Market Pop-Up,Authentic Kenyan crafts jewelry and art. Support local artisans while finding unique gifts and souvenirs.,"{""address"": ""Village Market Shopping Centre"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Village Market"", ""latitude"": -1.222, ""longitude"": 36.8057}","{""https://images.unsplash.com/photo-1441986300917-64674bd600d8"",""https://images.unsplash.com/photo-1472851294608-062f824d29cc""}",0.05,"{""shopping"",""market"",""crafts"",""local"",""culture""}",Shopping & Markets,2025-11-10T10:00:00Z,360
Vegan Food Festival,Discover plant-based cuisine from top local chefs. Cooking demos tastings and nutrition workshops throughout the day.,"{""address"": ""Uhuru Gardens"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Uhuru Gardens"", ""latitude"": -1.3031, ""longitude"": 36.7828}","{""https://images.unsplash.com/photo-1540914124281-342587941389"",""https://images.unsplash.com/photo-1512621776951-a57141f2eefd""}",12,"{""food"",""vegan"",""health"",""cooking"",""festival""}",Food & Drink,2025-11-22T11:00:00Z,300
Comedy Night with Churchill,Laugh out loud with Kenya's funniest comedians. Special guest appearances and audience interaction.,"{""address"": ""Kenya National Theatre"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""National Theatre"", ""latitude"": -1.2817, ""longitude"": 36.8234}","{""https://images.unsplash.com/photo-1585699324551-f6c309eedeca"",""https://images.unsplash.com/photo-1527224857830-43a7acc85260""}",0.018,"{""comedy"",""entertainment"",""standup"",""nightlife""}",Entertainment,2025-11-15T20:00:00Z,150
Yoga and Meditation Retreat,Full day wellness retreat featuring yoga meditation and mindfulness practices. Healthy lunch included.,"{""address"": ""Giraffe Centre - Karen"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Giraffe Centre"", ""latitude"": -1.369, ""longitude"": 36.7466}","{""https://images.unsplash.com/photo-1506126613408-eca07ce68773"",""https://images.unsplash.com/photo-1544367567-0f2fcb009e0b""}",0.035,"{""yoga"",""wellness"",""meditation"",""health"",""retreat""}",Health & Wellness,2025-12-05T08:00:00Z,420
Photography Workshop: Street Photography,Learn techniques for capturing urban life. Hands-on shooting session in Nairobi CBD followed by critique.,"{""address"": ""Nairobi CBD Meeting Point"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Downtown Nairobi"", ""latitude"": -1.2864, ""longitude"": 36.8172}","{""https://images.unsplash.com/photo-1471341971476-ae15ff5dd4ea"",""https://images.unsplash.com/photo-1542038784456-1ea8e935640e""}",0.03,"{""photography"",""workshop"",""education"",""art"",""learning""}",Education & Learning,2025-11-28T09:00:00Z,240
Electronic Music Festival - Rave Edition,All-night electronic music festival featuring international and local DJs. Multiple stages and immersive visuals.,"{""address"": ""Carnivore Grounds"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Carnivore Simba Saloon"", ""latitude"": -1.3326, ""longitude"": 36.8409}","{""https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3"",""https://images.unsplash.com/photo-1514320291840-2e0a9bf2a9ae""}",0.04,"{""edm"",""festival"",""nightlife"",""rave"",""music""}",Music,2025-12-20T21:00:00Z,540
Kids Science Fair,Interactive science experiments and demonstrations for children. Educational fun for the whole family.,"{""address"": ""Sarit Centre Expo Hall"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Sarit Centre"", ""latitude"": -1.2621, ""longitude"": 36.7885}","{""https://images.unsplash.com/photo-1516549655169-df83a0774514"",""https://images.unsplash.com/photo-1503676260728-1c00da094a0b""}",0.08,"{""kids"",""family"",""science"",""education"",""children""}",Family & Kids,2025-11-18T10:00:00Z,240
Wine Tasting Evening,Sample premium wines from around the world with expert sommelier guidance. Cheese pairings included.,"{""address"": ""Hemingways Nairobi"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Hemingways Hotel Karen"", ""latitude"": -1.3558, ""longitude"": 36.7019}","{""https://images.unsplash.com/photo-1510812431401-41d2bd2722f3"",""https://images.unsplash.com/photo-1547595628-c61a29f496f0""}",0.05,"{""wine"",""tasting"",""food"",""luxury"",""social""}",Food & Drink,2025-12-10T18:30:00Z,150
Marathon Training Camp,Prepare for your next race with professional coaches. Training plan nutrition advice and group runs.,"{""address"": ""Ngong Hills"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Ngong Hills Viewpoint"", ""latitude"": -1.3681, ""longitude"": 36.654}","{""https://images.unsplash.com/photo-1452626038306-9aae5e071dd3"",""https://images.unsplash.com/photo-1476480862126-209bfaa8edc8""}",0.025,"{""running"",""marathon"",""fitness"",""training"",""outdoor""}",Sports & Fitness,2025-11-12T06:00:00Z,180
Fashion Show: Emerging Designers,Runway show featuring up-and-coming Kenyan fashion designers. Cocktails and networking after the show.,"{""address"": ""Nairobi Fashion Hub"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Lavington Green"", ""latitude"": -1.2815, ""longitude"": 36.7641}","{""https://images.unsplash.com/photo-1469334031218-e382a71b716b"",""https://images.unsplash.com/photo-1558769132-cb1aea199e5c""}",0.022,"{""fashion"",""runway"",""design"",""style"",""networking""}",Fashion & Beauty,2025-12-03T19:00:00Z,180
